Name,Restaurant / Group,Geography,Outreach Tier,Instagram,LinkedIn,Influence,ForkFox Connection,Outreach Status,Channel,Notes
Marc Vetri,"Vetri Cucina (flagship, 1998), Fiorella, Fiore Rosso, MVP, Pizzeria Salvy (Xfini",Philly,Tier 1 — Priority,@marcvetri (103K followers),https://www.linkedin.com/in/marc-vetri-860a2b35/,HIGH -- Cons,"As Philly's Italian cuisine godfather, Vetri's endorsement of dish-level intelligence would carry enormous weight. His m",Not Started,Email + LinkedIn,
Michael Solomonov,"CookNSolo Restaurants -- Zahav (flagship), Dizengoff, Goldie, K'Far, Laser Wolf,",Philly,Tier 1 — Priority,@mikesolomonov (118K followers),https://www.linkedin.com/in/mikesolomonov,HIGH -- Nati,"Solomonov has revolutionized how Americans think about Israeli cuisine at the dish level. His menu innovation (hummus, s",Not Started,Email + LinkedIn,
Stephen Starr,"Starr Restaurants -- 30+ concepts including Buddakan, Morimoto, El Vez, Parc, Ta",Philly,Tier 1 — Priority,@stephen.starr (37K followers); @starrre,https://www.linkedin.com/company/starr-restaurants,HIGH -- The ,"Starr is THE mega-operator. His scale (30+ concepts, multiple cities) makes him the ultimate test case for Tastyr's dish",Not Started,Email + LinkedIn,
Jose Garces,"Garces Group -- Amada, Village Whiskey, Buena Onda, JG Domestic, and more (some ",Philly,Tier 1 — Priority,@chefjosegarces,https://www.linkedin.com/company/garces-restaurant-group,MEDIUM-HIGH ,"Garces has built multiple successful concepts around specific dish categories (tapas, tacos, whiskey/burgers). His Iron ",Not Started,Email + LinkedIn,
Cristina Martinez,"South Philly Barbacoa, Casa Mexico, People's Kitchen at El Compadre",Philly,Tier 1 — Priority,@barbacoachef (56K followers),https://www.linkedin.com/in/chefcristinamartinez/,HIGH -- Cult,Martinez represents the heart-and-soul side of food that Tastyr should champion. Her barbacoa is legendary at the dish l,Not Started,Email + LinkedIn,
Nick Elmi,"Laurel (relocating to Center City), Lark, The Landing Kitchen, The Pump House (c",Philly,Tier 1 — Priority,@nicholaselmi (16K followers),https://www.linkedin.com/in/nicholas-elmi-272a0bb7/,MEDIUM-HIGH ,Elmi's cooking is intensely focused on individual dish perfection -- his tasting menus at Laurel are about experiencing ,Not Started,Email + LinkedIn,
Nok Suntaranon,"Kalaya (South Philadelphia, flagship), Kalaya (Fishtown expansion)",Philly,Tier 1 — Priority,@kuhnnok (personal); @kalayaphilly (rest,Not publicly listed,HIGH -- Curr,"Kalaya is THE example of a dish-driven restaurant. People come for specific dishes -- the crab curry, the pad kra pao. N",Not Started,Email + LinkedIn,
Jesse Ito,"Royal Sushi & Izakaya, Royal Sushi Omakase, Dancerobot (new, Rittenhouse)",Philly,Tier 1 — Priority,@jesseito (58K followers),https://www.linkedin.com/in/jesse-ito-38492151/,HIGH -- 58K ,Omakase is literally dish-by-dish dining -- each piece of sushi is its own experience. Ito's 600-person waitlist proves ,Not Started,Email + LinkedIn,
Yun Fuentes,Bolo (Rittenhouse Square),Philly,Tier 1 — Priority,@el_hijodealeyda (personal); @bolo_phl (,Not publicly listed,MEDIUM-HIGH ,Fuentes represents the next generation of chef-owners building around cultural dish identity. His Puerto Rican and Latin,Not Started,Email + LinkedIn,
Joey Baldino,"Zeppoli (Collingswood, NJ), Palizzi Social Club (South Philadelphia), Bomb Bomb ",Philly,Tier 1 — Priority,Not publicly confirmed,Not publicly listed,MEDIUM-HIGH ,Baldino's Sicilian cooking is deeply traditional and dish-focused. Palizzi Social Club's members-only model creates excl,Not Started,Email + LinkedIn,
Townsend Wentz,"TWRG (Townsend Wentz Restaurant Group) -- Townsend (French), A Mano (Italian), O",Philly,Tier 1 — Priority,@TownsendWentz (personal); @olorosophl (,Not publicly listed,MEDIUM-HIGH ,"Wentz operates across three distinct European cuisines (French, Italian, Spanish) -- making his portfolio a perfect test",Not Started,Email + LinkedIn,
Amanda Shulman,"Her Place Supper Club (Rittenhouse), My Loup (with husband Alex Kemp), Pine Stre",Philly,Tier 1 — Priority,@stayhungree (24K followers); @herplaces,https://www.linkedin.com/in/amanda-shulman-60098154/,HIGH -- Mich,"Shulman's supper club format is inherently dish-centric -- her multicourse set menu changes every two weeks, making each",Not Started,Email + LinkedIn,
Aimee Olexy,"Talula's Table (Kennett Square), Talula's Garden (Philadelphia, with Stephen Sta",Philly,Tier 1 — Priority,Not publicly confirmed (likely @talulast,Not publicly listed,MEDIUM-HIGH ,"Talula's Table is the ultimate dish-driven destination -- with only 12 seats, every dish is intensely personal and curat",Not Started,Email + LinkedIn,
David Burke,"Red Horse Steakhouse (Rumson + Bernardsville + White Plains), Orchard Park (East",NJ/DE,Tier 1 — Priority,@chefdavidburke (85K followers),Not publicly listed,HIGH -- The ,"Burke is an innovation-obsessed chef -- his signature dishes (Clothesline Bacon, salt-aged beef) are iconic at the indiv",Not Started,Email + LinkedIn,
Dan Richer,Razza Pizza Artigianale (Jersey City),NJ/DE,Tier 1 — Priority,@danricher (24K followers),https://www.linkedin.com/in/danrichernj/,HIGH -- Jers,Richer is obsessively focused on individual dish perfection -- specifically pizza. His entire career is about making one,Not Started,Email + LinkedIn,
David Viana,"Heirloom Kitchen (Old Bridge), Lita (Aberdeen Township), Abramzon & David's Deli",NJ/DE,Tier 1 — Priority,@chefdaveviana (14K followers),Not publicly listed,MEDIUM-HIGH ,Viana bridges fine dining pedigree (Eleven Madison Park) with community-driven NJ dining. His cooking school component s,Not Started,Email + LinkedIn,
Nur-E Gulshan Rahman,Korai Kitchen (Jersey City),NJ/DE,Tier 1 — Priority,@koraikitchen (16K followers),Not publicly listed,MEDIUM-HIGH ,"Rahman (known as ""Amma"") is a self-taught home cook who built a James Beard-nominated restaurant. Her story represents e",Not Started,Email + LinkedIn,
Sam Calagione,"Dogfish Head Brewings & Eats (Rehoboth Beach), Dogfish Head Brewery (Milton), Ch",NJ/DE,Tier 1 — Priority,@samcalagione (likely handle; Dogfish He,"Not publicly listed (Board member, Boston Beer Company)",HIGH -- Dela,Calagione blurs the line between craft beverages and food. Dogfish Head's restaurants pair specific beers with specific ,Not Started,Email + LinkedIn,
Antimo DiMeo,"Bardea Food & Drink (flagship), Bardea Steak, Bardea Garden, Casa Nonna (2025), ",NJ/DE,Tier 1 — Priority,@antimo.dimeo (4K followers),Not publicly listed,HIGH (in Del,"DiMeo is the most dynamic young restaurateur in Delaware, expanding from 1 to 5 concepts in 7 years. His modern Italian ",Not Started,Email + LinkedIn,
Bryan Sikora,"La Fia (Wilmington), Merchant Bar (Wilmington), Crow Bar (Wilmington) -- 4 resta",NJ/DE,Tier 1 — Priority,Not publicly confirmed,Not publicly listed,MEDIUM-HIGH ,"Sikora has deep roots across the tri-state food scene -- Philadelphia (Django), Chester County (Talula's Table), and now",Not Started,Email + LinkedIn,
Ellen Yin,"High Street Hospitality -- Fork (flagship, 1997), High Street, a.kitchen, The Br",Philly,Tier 1 — Philly,@therealellenyin,https://www.linkedin.com/in/ellen-yin-ab645a6/,HIGH -- One ,Yin is a hospitality-first restaurateur who deeply understands guest experience. Her Sisterly Love Collective work shows,Not Started,Email + LinkedIn,
Greg Vernick,"Vernick Food & Drink (flagship), Vernick Fish, Vernick Coffee Bar, Vernick Wine,",Philly,Tier 1 — Philly,@vernickphilly (33K followers),Not publicly listed,HIGH -- Risi,Vernick represents the modern American chef-entrepreneur who thinks about food as an experience across multiple formats ,Not Started,Email + LinkedIn,
Kevin Sbraga,"The Fat Ham (University City + King of Prussia), Sbraga (Philadelphia, 2011-2017",Philly,Tier 1 — Philly,@kevinsbraga,Not publicly listed,MEDIUM -- We,Sbraga bridges fine dining and casual concepts (Fat Ham's Southern comfort food vs. Fitler Club's multi-format dining). ,Not Started,Email + LinkedIn,
Tyler Akin,Le Cavalier at Hotel du Pont (departed Aug 2025); new Philadelphia projects (for,Philly,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- Re,Akin's transition from Le Cavalier to new Philadelphia projects represents a chef at a pivotal career moment -- exactly ,Not Started,Email + LinkedIn,
Chad Rosenthal,"Mary's (Ambler, PA)",Philly,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- We,Rosenthal's tableside approach shows he already thinks about individual dish experiences. His location in the suburbs (A,Not Started,Email + LinkedIn,
Will Langlois,"Bar Lucca (Conshohocken, PA)",Philly,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- Gr,Langlois represents the artisan chef-owner in the suburbs who obsesses over individual dish components (hand-designed ra,Not Started,Email + LinkedIn,
Dane DeMarco,"Gass & Main (Haddonfield, NJ)",NJ/DE,Tier 2 — Outreach,Not publicly confirmed (check @gassandma,Not publicly listed,MEDIUM -- Ri,"DeMarco's entire concept is about reimagining familiar dishes with refinement. Their approach to ""nostalgic comfort food",Not Started,Email + LinkedIn,
Maricel Presilla,"Cucharamama (Hoboken, permanently closed 2020), Zafra (closed); Gran Cacao Compa",NJ/DE,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- No,Presilla is a food scholar and cultural ambassador. Her expertise in Latin American cuisine at the dish and ingredient l,Not Started,Email + LinkedIn,
Jason Cichonski,"Attico, Messina Social Club, Tulip Pasta & Wine Bar, Angeloni's Club Madrid (ope",NJ/DE,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- Gr,Cichonski is building a restaurant group in Atlantic City -- a market dominated by celebrity chef outposts where indepen,Not Started,Email + LinkedIn,
Rob LaScala,"Chicken Or The Egg (Long Beach Island + Marlton), LaScala's (Brigantine)",NJ/DE,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- St,LaScala represents the beloved NJ Shore restaurateur whose dishes are iconic locally but underrecognized nationally. Chi,Not Started,Email + LinkedIn,
